"Fact","Fact Note","San Bernardino County, California","Value Note for San Bernardino County, California","Riverside County, California","Value Note for Riverside County, California","San Diego County, California","Value Note for San Diego County, California","Orange County, California","Value Note for Orange County, California","Los Angeles County, California","Value Note for Los Angeles County, California","San Luis Obispo County, California","Value Note for San Luis Obispo County, California"
"Population estimates, July 1, 2025, (V2025)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates, July 1, 2024, (V2024)","","2,214,281","","2,529,933","","3,298,799","","3,170,435","","9,757,179","","281,843",""
"Population estimates base, April 1, 2020, (V2025)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2024)","","2,181,664","","2,419,967","","3,298,647","","3,187,256","","10,017,401","","282,448",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2025, (V2025)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%","","4.5%","","Z","","-0.5%","","-2.6%","","-0.2%",""
"Population, Census, April 1, 2020","","2,181,654","","2,418,185","","3,298,634","","3,186,989","","10,014,009","","282,424",""
"Population, Census, April 1, 2010","","2,035,210","","2,189,641","","3,095,313","","3,010,232","","9,818,605","","269,637",""
"Persons under 5 years, percent","","6.0%","","5.7%","","5.4%","","4.9%","","4.9%","","4.2%",""
"Persons under 18 years, percent","","24.8%","","23.4%","","20.4%","","20.3%","","19.9%","","17.1%",""
"Persons 65 years and over, percent","","13.3%","","16.1%","","16.3%","","17.4%","","16.1%","","23.3%",""
"Female persons, percent","","50.1%","","49.8%","","49.5%","","50.5%","","50.5%","","49.8%",""
"White alone, percent","","74.5%","","77.6%","","73.5%","","68.0%","","69.3%","","87.9%",""
"Black alone, percent","(a)","9.3%","","7.5%","","5.5%","","2.3%","","8.9%","","1.8%",""
"American Indian and Alaska Native alone, percent","(a)","2.2%","","2.0%","","1.4%","","1.1%","","1.7%","","1.6%",""
"Asian alone, percent","(a)","9.7%","","8.3%","","13.8%","","24.3%","","16.4%","","4.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.5%","","0.5%","","0.6%","","0.4%","","0.4%","","0.2%",""
"Two or More Races, percent","","3.8%","","4.0%","","5.1%","","4.0%","","3.5%","","4.0%",""
"Hispanic or Latino, percent","(b)","56.4%","","52.5%","","35.2%","","34.3%","","48.8%","","25.8%",""
"White alone, not Hispanic or Latino, percent","","23.7%","","30.2%","","42.4%","","36.7%","","25.0%","","65.3%",""
"Veterans, 2020-2024","","76,558","","109,216","","183,791","","87,155","","209,570","","14,563",""
"Foreign-born persons, percent, 2020-2024","","21.6%","","21.9%","","22.8%","","30.4%","","33.4%","","9.9%",""
"Housing Units, July 1, 2024, (V2024)","","755,367","","888,186","","1,271,955","","1,161,012","","3,709,507","","127,244",""
"Owner-occupied housing unit rate, 2020-2024","","62.1%","","69.1%","","54.6%","","56.4%","","45.9%","","62.1%",""
"Median value of owner-occupied housing units, 2020-2024","","$505,000","","$557,300","","$854,700","","$962,600","","$834,200","","$824,700",""
"Median selected monthly owner costs - with a mortgage, 2020-2024","","$2,368","","$2,583","","$3,184","","$3,385","","$3,160","","$2,887",""
"Median selected monthly owner costs - without a mortage, 2020-2024","","$678","","$781","","$871","","$902","","$843","","$849",""
"Median gross rent, 2020-2024","","$1,801","","$1,901","","$2,246","","$2,434","","$1,954","","$1,992",""
"Building Permits, 2024","","6,226","","9,598","","11,572","","6,972","","19,809","","1,104",""
"Households, 2020-2024","","674,915","","775,335","","1,171,278","","1,082,960","","3,416,449","","109,503",""
"Persons per household, 2020-2024","","3.20","","3.15","","2.72","","2.87","","2.81","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ , 2020-2024","","90.4%","","90.6%","","87.2%","","88.9%","","90.8%","","82.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2020-2024","","44.3%","","42.4%","","37.3%","","46.4%","","55.1%","","17.5%",""
"Households with a computer, percent, 2020-2024","","96.9%","","97.0%","","97.6%","","97.9%","","96.7%","","97.0%",""
"Households with a broadband Internet subscription, percent, 2020-2024","","93.3%","","93.6%","","94.9%","","95.0%","","93.0%","","93.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2020-2024","","82.5%","","83.5%","","89.1%","","87.1%","","80.9%","","92.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2020-2024","","23.3%","","25.6%","","43.2%","","44.1%","","36.0%","","39.8%",""
"With a disability, under age 65 years, percent, 2020-2024","","8.7%","","7.9%","","7.3%","","5.9%","","7.3%","","8.2%",""
"Persons without health insurance, under age 65 years, percent","","8.8%","","8.7%","","6.8%","","7.1%","","8.8%","","6.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2020-2024","","61.4%","","60.9%","","63.0%","","65.5%","","64.7%","","57.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2020-2024","","55.7%","","54.9%","","59.2%","","59.5%","","59.3%","","53.8%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","8,538,645","","10,604,308","","18,555,505","","17,230,280","","44,000,801","","1,587,402",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","18,454,193","","15,519,734","","35,988,326","","34,183,892","","113,488,435","","2,439,246",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","13,455,568","","4,972,907","","7,649,274","","6,818,961","","65,350,932","","410,149",""
"Total retail sales, 2022 ($1,000)","(c)","45,946,120","","44,927,586","","61,535,438","","72,489,819","","213,932,785","","5,428,204",""
"Total retail sales per capita, 2022","(c)","$20,933","","$18,158","","$18,777","","$23,010","","$22,010","","$19,246",""
"Mean travel time to work (minutes), workers age 16 years+, 2020-2024","","32.6","","33.8","","25.5","","26.7","","30.4","","22.3",""
"Median households income (in 2024 dollars), 2020-2024","","$85,478","","$93,074","","$106,268","","$116,289","","$90,112","","$97,446",""
"Per capita income in past 12 months (in 2024 dollars), 2020-2024","","$34,343","","$38,317","","$51,976","","$54,557","","$45,792","","$51,592",""
"Persons in poverty, percent","","12.6%","","9.8%","","10.1%","","9.7%","","13.3%","","12.6%",""
"Total employer establishments, 2023","","42,571","","46,244","","93,407","","106,961","","304,988","","8,962",""
"Total employment, 2023","","718,612","","687,526","","1,391,721","","1,580,778","","3,987,736","","98,720",""
"Total annual payroll, 2023 ($1,000)","","39,234,766","","36,178,455","","106,219,947","","118,689,674","","299,616,607","","5,699,221",""
"Total employment, percent change, 2022-2023","","5.3%","","5.3%","","4.0%","","1.2%","","2.3%","","-0.8%",""
"Total nonemployer establishments, 2023","","177,961","","197,967","","299,736","","323,247","","1,128,124","","25,650",""
"All employer firms, Reference year 2022","","32,511","","36,188","","73,839","","85,955","","247,882","","7,365",""
"Men-owned employer firms, Reference year 2022","","18,711","","22,062","","43,270","","51,422","","149,187","","4,022",""
"Women-owned employer firms, Reference year 2022","","7,455","","7,595","","17,921","","19,506","","61,315","","1,687",""
"Minority-owned employer firms, Reference year 2022","","15,006","","13,429","","21,233","","31,524","","97,754","","1,156",""
"Nonminority-owned employer firms, Reference year 2022","","14,929","","20,017","","46,425","","48,495","","135,294","","5,461",""
"Veteran-owned employer firms, Reference year 2022","","1,119","","1,566","","3,635","","2,916","","6,107","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","29,063","","32,468","","64,776","","78,157","","230,445","","6,305",""
"Population per square mile, 2020","","108.7","","335.4","","783.5","","4,019.7","","2,466.9","","85.6",""
"Population per square mile, 2010","","101.5","","303.8","","735.8","","3,807.7","","2,419.6","","81.7",""
"Land area in square miles, 2020","","20,068.01","","7,209.27","","4,210.23","","792.84","","4,059.28","","3,300.85",""
"Land area in square miles, 2010","","20,056.94","","7,206.48","","4,206.63","","790.57","","4,057.88","","3,298.57",""
"FIPS Code","","""06071""","","""06065""","","""06073""","","""06059""","","""06037""","","""06079""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
